127.0.0.1 - - [30/Oct/2023:14:12:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:12:41 +0530] "GET /LoginPage/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:12:42 +0530] "GET /LoginPage/home HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:12:42 +0530] "GET /LoginPage/resources/images/walpaper.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:12:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:14:20 +0530] "GET /LoginPage/login HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:14:33 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:14:33 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:14:43 +0530] "GET /LoginPage/register HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:15:51 +0530] "POST /LoginPage/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:15:51 +0530] "GET /LoginPage/register HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:15:58 +0530] "GET /LoginPage/login HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:16:12 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:16:12 +0530] "GET /LoginPage/welcome HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:16:46 +0530] "GET /LoginPage/register HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:16:53 +0530] "GET /LoginPage/home HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:16:53 +0530] "GET /LoginPage/resources/images/walpaper.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:03 +0530] "GET /LoginPage/login HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:09 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:09 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:15 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:15 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:16 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:16 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:17 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:17 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:18 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:18 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:19 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:19 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:20 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:20 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:30 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:30 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:31 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:31 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:38 +0530] "POST /LoginPage/userlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:14:17:38 +0530] "GET /LoginPage/login HTTP/1.1" 200 5743
