0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:38:13 +0530] "GET /API/getStudents HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:38:38 +0530] "OPTIONS /API//updateData/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:38:38 +0530] "PUT /API//updateData/2 HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:38:38 +0530] "GET /API/getStudents HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:38:56 +0530] "PUT /API//updateData/7 HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:38:57 +0530] "GET /API/getStudents HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:19 +0530] "OPTIONS /API//updateData/8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:19 +0530] "PUT /API//updateData/8 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:20 +0530] "GET /API/getStudents HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:40 +0530] "OPTIONS /API//updateData/9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:41 +0530] "PUT /API//updateData/9 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:41 +0530] "GET /API/getStudents HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:54 +0530] "GET /API/getStudents HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:39:54 +0530] "GET /API/getStudents HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:42:12 +0530] "GET /API/getStudents HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:42:12 +0530] "GET /API/getStudents HTTP/1.1" 200 1219
